run_id,symbols,BUY_START_TIME,BUY_END_TIME,RSI_MIN,RSI_MAX,MOMENTUM_RVOL_MIN,REQUIRE_BREAKOUT,ATR_STOP_MULTIPLE,ATR_EXTREME_PERCENT,MAX_HOLD_MINUTES,MAX_CAPITAL_PER_TRADE,MAX_POSITIONS,closed_trades,win_rate,profit_factor,expectancy,average_winner,average_loser,max_drawdown,sharpe,best_ticker,worst_ticker,best_time_of_day,worst_time_of_day,losing_streak,latest_regime,research_score
86,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.6,False,1.0,0.015,60,0.05,2,89,0.10112359550561797,0.028133412912878176,-1.053478483145927,0.30157055555567464,-1.205921499999857,0.0037879193999999553,-0.4619629730219415,XLI,XLF,18,16,21,RISK_OFF,-0.11006375401710056
20,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,80.0,0.6,True,1.0,0.015,120,0.05,2,130,0.19230769230769232,0.0769320732061603,-0.9536541730768046,0.41330250000012453,-1.2791200476189304,0.004961976863689394,-0.47745961710855694,XLRE,XLF,18,15,28,RISK_OFF,-0.14631030470459638
18,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",09:45,13:30,40.0,80.0,0.6,True,1.0,0.015,60,0.05,2,130,0.19230769230769232,0.0769320732061603,-0.9536541730768046,0.41330250000012453,-1.2791200476189304,0.004961976863689394,-0.47745961710855694,XLRE,XLF,18,15,28,RISK_OFF,-0.14631030470459638
113,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,80.0,0.6,True,1.0,0.015,60,0.05,1,65,0.09230769230769231,0.026885049385366434,-1.0239607307691283,0.30647291666673837,-1.1592590677965047,0.002672699299999804,-0.4710827823982414,XLP,XLF,15,19,19,RISK_OFF,-0.17780953691526769
115,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,80.0,0.6,True,1.0,0.015,120,0.05,1,65,0.09230769230769231,0.026885049385366434,-1.0239607307691283,0.30647291666673837,-1.1592590677965047,0.002672699299999804,-0.4710827823982414,XLP,XLF,15,19,19,RISK_OFF,-0.17780953691526769
121,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,80.0,0.8,True,1.0,0.015,60,0.05,1,57,0.10526315789473684,0.03049138540169472,-1.0257535087718215,0.30647291666673837,-1.182486029411652,0.0023491193999993264,-0.43443907932003734,XLP,XLF,15,20,17,RISK_OFF,-0.21995905475420097
123,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,15:15,40.0,80.0,0.8,True,1.0,0.015,120,0.05,1,57,0.10526315789473684,0.03049138540169472,-1.0257535087718215,0.30647291666673837,-1.182486029411652,0.0023491193999993264,-0.43443907932003734,XLP,XLF,15,20,17,RISK_OFF,-0.21995905475420097
95,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,False,1.0,0.015,120,0.05,1,80,0.1,0.027076826170751484,-1.068278218749865,0.29730593750012435,-1.2200097916665302,0.0034232514999994602,-0.44064167186953057,XLI,XLF,18,16,20,RISK_OFF,-0.22076145704181016
93,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,False,1.0,0.015,60,0.05,1,80,0.1,0.027076826170751484,-1.068278218749865,0.29730593750012435,-1.2200097916665302,0.0034232514999994602,-0.44064167186953057,XLI,XLF,18,16,20,RISK_OFF,-0.22076145704181016
96,"SPY,QQQ,XLC,XLY,XLP,XLE,XLF,XLV,XLI,XLB,XLRE,XLK,XLU,MTUM,QUAL,VLUE,USMV,SIZE",11:15,13:30,40.0,80.0,0.8,False,1.0,0.015,120,0.05,2,81,0.09876543209876543,0.02659446178935273,-1.0747591666665293,0.29730593750012435,-1.2251224657532858,0.003486980899999471,-0.44528665501305786,XLI,XLF,18,16,20,RISK_OFF,-0.24579544877247272
